Asset ID	count	Event Time	Event Date	Class Structure	Class Structure ID	Material	Nominal Size (mm)	Soil Class	Soil Description	Grant Description	Pipe Inside Diameter (mm)	Pipe Material	Pipe Shape	Construction Date (YYYYMMDD)	Pipe Lining	Date Insulated	Tapping Status	Road Name	Road Type	Pipe Length (m)	Pipe Status	Height Start of Pipe (meters above sea level)	Height End of Pipe (meters above sea level)	Latitude Start of Pipe	Lattitude End of Pipe	Longitude Start of Pipe	Longitude End of Pipe	Distribution Zone ID	Water Quality Zone ID	Description	Failure Code	Failure Description	Job Plan	Job Plan Number	Service Location Id	Formatted Address	City	Post Code	Latitude	Longitude	months_break
100259	1	15:54:00.0000000	2004-04-05	Repair Burst Water Main	WRBRST	MEDIUM DENSITY POLYETHYLENE	125	EX	Moderate shrink/swell potential.	Clay.	125	MEDIUM DENSITY POLYETHYLENE	CIRCULAR	2003-07-10	NONE	(null)	YES	MOUNT DANDENONG TOURIST	ROAD	396.8047	INTEGRITY	500.0000	484.1900	-37.84472083	-37.84150510	145.36040175	145.35863733	1550536354	1125029145	REP LK 1.5M DEEP NON MS 100DIA	UNKN	UNKN			1399527	1417 MT DANDENONG TOURIST ROAD OLINDA 3788	OLINDA	3788	-37.84193818	145.35890900	3
1009730	1	15:00:00.0000000	2003-05-26	Repair Burst Water Main	WRBRST	POLYETHYLENE(SOLID WALL, HIGH DENSITY)	125	EX	Moderate shrink/swell potential.	Clay.	125	POLYETHYLENE(SOLID WALL, HIGH DENSITY)	CIRCULAR	2001-08-20	NONE	(null)	YES	ANDERSON	STREET	291.2699	INTEGRITY	50.0000	34.9400	-37.74864812	-37.74908889	145.07333752	145.07650129	1551045695	1125029158	REP BURST 0-1.5M DEEP, <100DIA	UNKN	UNKN			1502959	1/8 ANDERSON STREET HEIDELBERG 3084	HEIDELBERG	3084	-37.74890260	145.07423350	7
1010868	1	01:00:00.0000000	2005-04-15	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	300	VE	Very high shrink/swell potential.	Expansive Clay.	300	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	2000-02-15	NONE	(null)	YES	PLENTY	ROAD	147.2552	INTEGRITY	151.0000	155.0000	-37.64091289	-37.64207186	145.09645548	145.09664969	1550539587	1125029149	REP BURST 1.5-3M DEEP <300DIA	UNKN	UNKN			1577793	962 PLENTY ROAD SOUTH MORANG 3752	SOUTH MORANG	3752	-37.64060784	145.09652490	21
1011567	1	18:37:00.0000000	2006-11-09	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	100	VE	Very high shrink/swell potential.	Expansive Clay.	100	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	2006-02-01	NONE	(null)	YES	CHANDLER	DRIVE	62.3840	INTEGRITY	147.6768	147.5000	-37.64264758	-37.64209060	145.08430636	145.08440112	1550539587	1125029149	REP BURST 0-1.5M DEEP, <100DIA	UNKN	UNKN			1646621	6 CHANDLER DRIVE SOUTH MORANG 3752	SOUTH MORANG	3752	-37.64223167	145.08449820	3
1018890	1	15:03:00.0000000	2008-09-04	Repair Burst Water Main	WRBRST	MEDIUM DENSITY POLYETHYLENE	63	VE	Very high shrink/swell potential.	Expansive Clay.	63	MEDIUM DENSITY POLYETHYLENE	CIRCULAR	2004-05-04	NONE	(null)	YES	LOOKOUT	RISE	56.0505	INTEGRITY	114.7660	111.1000	-37.71576261	-37.71590420	145.06605969	145.06658190	1551065665	1125029168	REP LK 1.5M DEEP NON MS 100DIA	UNKN	UNKN			1615944	27 LOOKOUT RISE MACLEOD 3085	MACLEOD	3085	-37.71566759	145.06601500	17
101897	1	07:04:00.0000000	2013-05-10	Repair Burst Water Main	WRBRST	DUCTILE IRON CEMENT LINED	100	SE	Low shrink/swell potential.	Silty Soil.	100	DUCTILE IRON CEMENT LINED	CIRCULAR	2007-04-11	NONE	(null)	YES	PHOENIX	STREET	141.8125	INTEGRITY	46.0000	45.9190	-37.76960878	-37.76988508	144.95538380	144.95691166	1550536422	1125029157	REPAIR BURST WATER MAIN	UNKN	UNKN			1010356	TE/44A-44C PHOENIX STREET BRUNSWICK 3056	BRUNSWICK	3056	-37.76972288	144.95702850	24
1019077	1	11:01:00.0000000	2001-04-17	Repair Burst Water Main	WRBRST	DUCTILE IRON CEMENT LINED	225	EX	Moderate shrink/swell potential.	Clay.	225	DUCTILE IRON CEMENT LINED	CIRCULAR	1995-02-27	NONE	(null)	YES	GRANGE	BOULEVARD	48.9818	MIGRATED	84.5700	83.0000	-37.71384886	-37.71428418	145.05519657	145.05512304	1551065665	1125029168	REP LK 1.5DEEP NON MS <225 DIA	UNKN	UNKN			1514237	5 GRANGE BOULEVARD BUNDOORA 3083	BUNDOORA	3083	-37.71388260	145.05508400	25
1019582	1	15:59:00.0000000	2007-07-12	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	1996-11-11	NONE	(null)	YES	AUTUMN	RISE	133.9147	INTEGRITY	100.1000	96.4600	-37.71038499	-37.71151311	145.05432912	145.05449314	1551065665	1125029168	REP LK 1.5M DEEP NON MS 100DIA	UNKN	UNKN			1626707	18 AUTUMN RISE BUNDOORA 3083	BUNDOORA	3083	-37.71133750	145.05434560	43
1021429	1	16:26:00.0000000	2007-11-14	Repair Burst Water Main	WRBRST	POLYETHYLENE(SOLID WALL, HIGH DENSITY)	125	EX	Moderate shrink/swell potential.	Clay.	125	POLYETHYLENE(SOLID WALL, HIGH DENSITY)	CIRCULAR	2002-06-21	NONE	(null)	YES	JACKA	STREET	157.2102	INTEGRITY	88.5100	83.0300	-37.72438250	-37.72558904	145.06265736	145.06357484	1550539577	1125029158	REP LK 1.5M DEEP NON MS 100DIA	UNKN	UNKN			1158239	45 JACKA STREET MACLEOD 3085	MACLEOD	3085	-37.72552781	145.06337970	22
1022137	1	11:14:00.0000000	2006-06-18	Repair Burst Water Main	WRBRST	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	100	EX	Moderate shrink/swell potential.	Clay.	100	UPVC-THICK WALLED PRESSURE PIPE(INCL BLUE BRUTE)	CIRCULAR	2001-06-18	NONE	(null)	YES	CARRAMAR	STREET	263.7917	INTEGRITY	79.0753	66.1700	-37.87939455	-37.87753432	145.10168978	145.10217538	1550536288	1125029165	REP BURST 0-1.5M DEEP, <100DIA	UNKN	UNKN			1275892	29 CARRAMAR STREET CHADSTONE 3148	CHADSTONE	3148	-37.87904767	145.10163730	20
